target_unit,target_head,correct_element,lexical_category,subcategory,source_target,error_variant,error_type,learner_sentence,correct_sentence,comment,source_error
glance at,glance,at,prepositions,verb_preposition,statistics,to,preposition_error,He glanced to the teacher before answering the question.,He glanced at the teacher before answering the question.,Неверный выбор предлога после глагола glance: в значении «бросить взгляд на кого-либо» требуется at.,REALEC
head for,head,for,prepositions,verb_preposition,statistics,to,preposition_error,We were heading to the train station because our train was leaving soon.,We were heading for the train station because our train was leaving soon.,Смешение моделей head for и go to: в устойчивой модели head for требуется предлог for.,REALEC
head towards,head,towards,prepositions,verb_preposition,statistics,for,preposition_error,"She headed for the door slowly, trying not to wake anyone.","She headed towards the door slowly, trying not to wake anyone.","Смешение head for и head towards: в данном контексте подчёркивается направление движения, поэтому используется towards.",REALEC
hear about,hear,about ,prepositions,verb_preposition,statistics,of,preposition_error,I heard of the accident on the news yesterday.,I heard about the accident on the news yesterday.,"Смешение моделей hear about и hear of: здесь речь идёт о получении информации о событии, поэтому требуется about.",REALEC
hear of ,hear,of,prepositions,verb_preposition,statistics,about,preposition_error,Have you ever heard about this writer before?,Have you ever heard of this writer before?,"Смешение моделей hear of и hear about: здесь имеется в виду факт знакомства с именем писателя, а не получение подробной информации о нём.",REALEC
hope for,hope,for,prepositions,verb_preposition,statistics,about,preposition_error,Many students hope about good results in their final exams.,Many students hope for good results in their final exams.,"Смешение модели hope for с глаголами, которые употребляются с about, например think about или worry about.",REALEC
hope for,hope,for,prepositions,verb_preposition,statistics,to,preposition_error,We all hope to a better future after graduation.,We all hope for a better future after graduation.,Смешение модели hope for + noun и конструкции hope to + verb.,REALEC
invest in,invest,in,prepositions,verb_preposition,statistics,into,preposition_error,Many companies invest into modern technology to improve their services.,Many companies invest in modern technology to improve their services.,Смешение предлогов после глагола invest: под влиянием русской модели «инвестировать во что-либо» учащийся может выбрать into.,REALEC
invest in,invest,in,prepositions,verb_preposition,statistics,to,preposition_error,The government should invest more money to education and science.,The government should invest more money in education and science.,Неверный выбор предлога после глагола invest: в значении вложения средств требуется in.,REALEC
invite to,invite,to,prepositions,verb_preposition,statistics,on,preposition_error,My classmates invited me on a birthday party last weekend.,My classmates invited me to a birthday party last weekend.,Смешение предлогов после глагола invite: под влиянием русской модели «пригласить на мероприятие» учащийся может выбрать on.,REALEC
involve in,involve,in,prepositions,verb_preposition,statistics,into,preposition_error,The teacher involved the students into a new research project.,The teacher involved the students in a new research project.,Смешение предлогов после глагола involve: под влиянием русской модели «вовлекать во что-либо» учащийся может выбрать into.,REALEC
join in,join,in,prepositions,verb_preposition,statistics,to,preposition_error,Many students wanted to join to the discussion after the lesson.,Many students wanted to join in the discussion after the lesson.,Смешение предлогов после глагола join: под влиянием русской модели «присоединиться к обсуждению» учащийся может выбрать to.,REALEC
know about sth,know,about,prepositions,verb_preposition,statistics,of,preposition_error,"I know of this problem, but I do not understand all the details.","I know about this problem, but I do not understand all the details.","Смешение моделей know about и know of: здесь речь идёт не только о факте существования проблемы, а о знании информации о ней.",REALEC
mean by,mean,by,prepositions,verb_preposition,statistics,with,preposition_error,What do you mean with this word in the text?,What do you mean by this word in the text?,Смешение предлогов после глагола mean: под влиянием русской модели «иметь в виду этим» учащийся может выбрать with.,REALEC
mean by,mean,by,prepositions,verb_preposition,statistics,about,preposition_error,What did the writer mean about this phrase?,What did the writer mean by this phrase?,"Смешение модели mean by с глаголами речи и мышления, которые употребляются с about.",REALEC
mention to,mention,to,prepositions,verb_preposition,statistics,about,preposition_error,She mentioned about the problem to the teacher after the lesson.,She mentioned to the problem to the teacher after the lesson.,Смешение модели mention something с русской моделью «упомянуть о чём-либо»: после mention объект обычно употребляется без предлога.,REALEC
рау for,pay,for,prepositions,verb_preposition,statistics,to,preposition_error,I had to pay to the ticket before entering the museum.,I had to pay for the ticket before entering the museum.,"Смешение объекта оплаты и адресата платежа: pay to somebody обозначает получателя денег, а за предмет или услугу платят с for.",REALEC
point to,point,to,prepositions,verb_preposition,statistics,at,preposition_error,The signs pointed at the nearest exit from the building.,The signs pointed to the nearest exit from the building.,"Смешение моделей point to и point at: здесь речь идёт о направлении/указании пути, поэтому требуется to.",REALEC
point to,point,to,prepositions,verb_preposition,statistics,on,preposition_error,The teacher pointed on the word on the board and asked us to read it.,The teacher pointed to the word on the board and asked us to read it.,Смешение предлогов после глагола point: под влиянием русской модели «указывать на» учащийся может выбрать on.,REALEC
point at,point,at,prepositions,verb_preposition,statistics,on,preposition_error,It is rude to point on people in the street.,It is rude to point at people in the street.,Смешение предлогов после глагола point: под влиянием русской модели «показывать на кого-либо» учащийся может выбрать on.,REALEC
point at,point,at,prepositions,verb_preposition,statistics,to,preposition_error,The boy pointed to the picture with his finger and laughed.,The boy pointed at the picture with his finger and laughed.,Смешение моделей point at и point to: здесь подчёркивается физическое действие указания пальцем на объект.,REALEC
prepare for,prepare,for,prepositions,verb_preposition,statistics,to,preposition_error,Many students prepare to the final exam for several months.,Many students prepare for the final exam for several months.,Смешение модели prepare for + noun и конструкции prepare to + verb.,REALEC
prepare for,prepare,for,prepositions,verb_preposition,statistics,on,preposition_error,She prepared on the English test all weekend.,She prepared for the English test all weekend.,Смешение предлогов после глагола prepare: под влиянием русской модели «готовиться к / на» учащийся может выбрать on.,REALEC
rely on,rely,on,prepositions,verb_preposition,statistics,to,preposition_error,Students should not rely to online translators when they write essays.,Students should not rely on online translators when they write essays.,Смешение предлогов после глагола rely: под влиянием русской модели «полагаться на» учащийся может выбрать to.,REALEC
smile at,smile,at ,prepositions,verb_preposition,statistics,on,preposition_error,The little boy smiled on his mother when she came home.,The little boy smiled at his mother when she came home.,"Неверный выбор предлога после глагола smile: объект, которому адресована улыбка, вводится предлогом at.",REALEC
speak with sb,speak,with,prepositions,verb_preposition,statistics,to,preposition_error,She spoke to her classmates for an hour about the school project.,She spoke with her classmates for an hour about the school project.,Смешение моделей speak with somebody и speak to somebody: здесь подчёркивается совместная беседа.,REALEC
speak to sb,speak,to,prepositions,verb_preposition,statistics,with,preposition_error,I need to speak with the teacher after the lesson about my mark.,I need to speak to the teacher after the lesson about my mark.,Смешение моделей speak to somebody и speak with somebody: в данном контексте подчёркивается обращение к человеку.,REALEC
spend money on sth,spend,on,prepositions,verb_preposition,statistics,for,preposition_error,Many teenagers spend too much money for computer games.,Many teenagers spend too much money on computer games.,Смешение предлогов после глагола spend: под влиянием русской модели «тратить деньги на что-либо» учащийся может выбрать for.,REALEC
spend money on sth,spend,on,prepositions,verb_preposition,statistics,to,preposition_error,Parents often spend a lot of money to their children’s education.,Parents often spend a lot of money on their children’s education.,Неверный выбор предлога после spend money: объект траты вводится предлогом on.,REALEC
stare at,stare,at,prepositions,verb_preposition,statistics,on,preposition_error,The boy stared on the screen for hours without saying a word.,The boy stared at the screen for hours without saying a word.,Смешение предлогов после глагола stare: под влиянием русской модели «смотреть на» учащийся может выбрать on.,REALEC
succeed in,succeed,in,prepositions,verb_preposition,statistics,at,preposition_error,Many students want to succeed at learning English before their final exams.,Many students want to succeed in learning English before their final exams.,Смешение предлогов после глагола succeed: в учебной модели в значении достижения успеха в деятельности употребляется in.,REALEC
succeed in,succeed,in,prepositions,verb_preposition,statistics,on,preposition_error,He hopes to succeed on business and become independent,He hopes to succeed in business and become independent,Неверный выбор предлога после глагола succeed: в значении успеха в сфере или деятельности требуется in.,REALEC
supply sb with sth,supply,with,prepositions,verb_preposition,statistics,by,preposition_error,The school supplied students by new textbooks before the course started.,The school supplied students with new textbooks before the course started.,Неверный выбор предлога после глагола supply: в модели «снабжать кого-либо чем-либо» требуется with.,REALEC
take care of sb/sth,take care,of,prepositions,verb_preposition,statistics,about,preposition_error,She always takes care about her younger brother when their parents are away.,She always takes care of her younger brother when their parents are away.,Смешение предлогов после фразового глагола take care: под влиянием русской модели «заботиться о» учащийся может выбрать about.,REALEC
talk to/with sb about sth,talk,about,prepositions,verb_preposition,statistics,for ,preposition_error,We need to talk with the manager for the new project.,We need to talk with the manager about the new project,Неверный выбор предлога после глагола talk: в модели «говорить о чём-то» требуется about.,REALEC
thank for,thank,for,prepositions,verb_preposition,statistics,about,preposition_error,I want to thank you about your help.,I want to thank you for your help.,Неверный выбор предлога после глагола thank: в модели «благодарить за что-либо» требуется for.,REALEC
think of/about,think,of about,prepositions,verb_preposition,statistics,on,preposition_error,What do you think on this problem?,What do you think about this problem?,Неверный выбор предлога после глагола think: в значении «иметь мнение» или «размышлять» требуется of или about,REALEC
translate from,translate,from,prepositions,verb_preposition,statistics,of,preposition_error,Can you translate this text of Russian into English?,Can you translate this text from Russian into English?,Неверный выбор предлога после глагола translate: при указании исходного языка используется from,REALEC
vote for/against,vote,for against,prepositions,verb_preposition,statistics,to,preposition_error,Many people voted to the new law.,Many people voted for the new law.,"Неверный выбор предлога после глагола vote: в значении «голосовать за» требуется for, а в значении «против» — against",REALEC
wait for,wait,for,prepositions,verb_preposition,statistics,on,preposition_error,I'm waiting on the bus for 20 minutes.,I'm waiting for the bus for 20 minutes.,Неверный выбор предлога после глагола wait: в значении «ждать кого-либо/что-либо» требуется for.,REALEC
waste money on sth,waste,on,prepositions,verb_preposition,statistics,for,preposition_error,Don't waste your money for things you don't need.,Don't waste your money on things you don't need.,Неверный выбор предлога после глагола waste: в модели «тратить впустую что-либо на что-либо» требуется on.,REALEC
wonder about,wonder,about,prepositions,verb_preposition,statistics,of,preposition_error,I wonder of what will happen tomorrow.,I wonder about what will happen tomorrow.,"Неверный выбор предлога после глагола wonder: в значении «интересоваться, размышлять о чём-либо» требуется about.",REALEC
worry about,worry,about,prepositions,verb_preposition,statistics,for,preposition_error,She is worrying for her exam results.,She is worrying about her exam results., Неверный выбор предлога после глагола worry: в значении «беспокоиться о ком-либо/чём-либо» требуется about.,REALEC
do a favour,do a favour,do,collocations,verb_noun,statistics,make,collocation_error,Could you make me a favour and explain this rule again?,Could you do me a favour and explain this rule again?,Смешение глаголов do и make: в устойчивом выражении do a favour требуется глагол do.,REALEC
do a favour,do a favour,do,collocations,verb_noun,statistics,give,collocation_error,My friend gave me a favour and helped me prepare for the exam.,My friend did me a favour and helped me prepare for the exam.,Неверный выбор глагола в коллокации: в английском употребляется do somebody a favour.,REALEC
do a job,do a job,do,collocations,verb_noun,statistics,make,collocation_error,I need to make a job before the deadline.,I need to do a job before the deadline.,Смешение глаголов do и make: в устойчивом выражении do a job требуется глагол do.,REALEC
do a lot of damage,do a lot of damage,do,collocations,verb_noun,statistics,make,collocation_error,The storm made a lot of damage to the coastal areas.,The storm did a lot of damage to the coastal areas.,Смешение глаголов do и make: в устойчивом выражении do damage требуется глагол do.,REALEC
do a service,do a service,do,collocations,verb_noun,statistics,give,collocation_error,You have given a great service to the community,You have done a great service to the community,"Неверный выбор глагола в коллокации: в английском употребляется do a service, а не give a service",REALEC
do a translation,do a translation,do,collocations,verb_noun,statistics,perform,collocation_error,Can you perform a translation of this document?,Can you do a translation of this document?,"Неверный выбор глагола в коллокации: perform a translation грамматически возможно, но нетипично; в повседневной и деловой речи используется do a translation.",REALEC
do an examination,do an examination,do,collocations,verb_noun,statistics,take,collocation_error,The doctor will take an examination of your knee.,The doctor will do an examination of your knee.,Неверный выбор глагола в коллокации: в английском употребляется do an examination «проводить осмотр» (о враче).,REALEC
do an exercise,do an exercise,do,collocations,verb_noun,statistics,write ,collocation_error,Please write exercise 5 on page 10.,Please do exercise 5 on page 10.,"Неверный выбор глагола в коллокации: write an exercise означает «составлять упражнение» (как автор), а не «выполнять упражнение» (как ученик)",REALEC
make a cake,make a cake,make,collocations,verb_noun,statistics,do,collocation_error,,,,REALEC
make a choice,make a choice,make,collocations,verb_noun,statistics,do,collocation_error,,,,REALEC
make a complaint,make a complaint,make,collocations,verb_noun,statistics,do,collocation_error,,,,REALEC
make a compliment,make a compliment,make,collocations,verb_noun,statistics,do,collocation_error,,,,REALEC
make a contribution to,make a contribution to,make,collocations,verb_noun,statistics,do,collocation_error,,,,REALEC
make a decision,make a decision,make,collocations,verb_noun,statistics,do,collocation_error,,,,REALEC
make a mistake,make a mistake,make,collocations,verb_noun,statistics,do,collocation_error,,,,REALEC
make a phone call,make a phone call,make,collocations,verb_noun,statistics,do,collocation_error,,,,REALEC
have an experience,have an experience,have,collocations,verb_noun,statistics,,collocation_error,,,,REALEC
have a chat,have a chat,have,collocations,verb_noun,statistics,,collocation_error,,,,REALEC
have a headache,have a headache,have,collocations,verb_noun,statistics,,collocation_error,,,,REALEC
have a lesson,have a lesson,have,collocations,verb_noun,statistics,,collocation_error,,,,REALEC
take a message,take a message,take,collocations,verb_noun,statistics,,collocation_error,,,,REALEC
take an advantage of,take an advantage of,take,collocations,verb_noun,statistics,,collocation_error,,,,REALEC
take an exam,take an exam,take,collocations,verb_noun,statistics,,collocation_error,,,,REALEC
take measures,take measures,take,collocations,verb_noun,statistics,,collocation_error,,,,REALEC
take power,take power,take,collocations,verb_noun,statistics,,collocation_error,,,,REALEC
take turns,take turns,take,collocations,verb_noun,statistics,,collocation_error,,,,REALEC
say sth to sb,say,say,verb,verb_patterns,statistics,tell ,verb_pattern_error,He told a few words to the teacher before leaving.,He said a few words to the teacher before leaving.,"Неверный выбор глагола речи: в выражении say a few words требуется say, а не tell.",REALEC
say sth to sb,say,say,verb,verb_patterns,statistics,talk,verb_pattern_error,She talked a few words to the teacher before leaving.,She said a few words to the teacher before leaving.,"Смешение глаголов речи: talk обозначает процесс разговора, а не произнесение конкретных слов.",REALEC
say sth to sb,say,say,verb,verb_patterns,statistics,speak,verb_pattern_error,She spoke a few words to the teacher before leaving.,She said a few words to the teacher before leaving.,Смешение say и speak: в выражении с конкретным высказыванием требуется say.,REALEC
tell sb sth,tell,tell,verb,verb_patterns,statistics,say,verb_pattern_error,The teacher said us the rules before the test.,The teacher told us the rules before the test.,"Смешение say и tell: если после глагола сразу указан адресат, требуется tell.",REALEC
tell sb sth,tell,tell,verb,verb_patterns,statistics,speak,verb_pattern_error,The teacher spoke us the rules before the test.,The teacher told us the rules before the test.,Смешение глаголов речи: speak не используется в модели speak somebody something.,REALEC
tell sb sth,tell,tell,verb,verb_patterns,statistics,talk,verb_pattern_error,The teacher talked us the rules before the test.,The teacher told us the rules before the test.,Смешение talk и tell: для передачи информации адресату требуется tell.,REALEC
talk to sb,talk,talk,verb,verb_patterns,statistics,tell ,verb_pattern_error,I need to tell to my teacher after the lesson.,I need to talk to my teacher after the lesson.,Смешение tell и talk: для значения разговора с человеком требуется talk to.,REALEC
talk to sb,talk,talk,verb,verb_patterns,statistics,say ,verb_pattern_error,I need to say to my teacher after the lesson.,I need to talk to my teacher after the lesson.,"Смешение say и talk: здесь речь идёт о разговоре с человеком, а не о произнесении конкретных слов.",REALEC
talk to sb,talk,talk,verb,verb_patterns,statistics,speak,verb_pattern_error,I need to speak to my teacher after the lesson.,I need to talk to my teacher after the lesson.,"Смешение talk и speak: оба варианта возможны, но в разговорной модели справочника закрепляется talk to.",REALEC
speak,we,,verb,verb_patterns,statistics,,verb_pattern_error,,,,REALEC
look,look,,verb,verb_patterns,statistics,,verb_pattern_error,,,,REALEC
glance,glance,,verb,verb_patterns,statistics,,verb_pattern_error,,,,REALEC
stare,stare,,verb,verb_patterns,statistics,,verb_pattern_error,,,,REALEC
skim,skim,,verb,verb_patterns,statistics,,verb_pattern_error,,,,REALEC
scan,scan,,verb,verb_patterns,statistics,,verb_pattern_error,,,,REALEC
see,see,,verb,verb_patterns,statistics,,verb_pattern_error,,,,REALEC
watch,watch,,verb,verb_patterns,statistics,,verb_pattern_error,,,,REALEC
historic moment,historic moment,historic,adjectives,word_choice,statistics,historical,word_choice_error,The signing of the peace agreement was a historical moment for the entire nation.,The signing of the peace agreement was a historic moment for the entire nation.,Смешение прилагательных historical и historic: под влиянием близости значений учащийся использует historical вместо historic.,REALEC
historic visit,historic visit,historic,adjectives,word_choice,statistics,historical,preposition_error,The president’s historical visit strengthened relations between the two countries.,The president’s historic visit strengthened relations between the two countries.,Смешение прилагательных historical и historic: под влиянием сходства формы и значения учащийся использует historical вместо historic,REALEC
historical monument,historical monument,historical,adjectives,word_choice,statistics,historic,preposition_error,Thousands of tourists visit the historic monument every year to learn about the country’s past.,Thousands of tourists visit the historical monument every year to learn about the country’s past.,Смешение прилагательных historic и historical: под влиянием близости значений учащийся может выбрать historical вместо historic,REALEC
historical period,historical period,historical,adjectives,word_choice,statistics,historic,preposition_error,"During that historic period, many people moved from villages to large industrial cities.","During that historical period, many people moved from villages to large industrial cities.",Смешение прилагательных historic и historical: при описании исторического периода учащийся может ошибочно использовать historic вместо historical,
prehistoric carvings,prehistoric carvings,prehistoric,adjectives,word_choice,statistics,historical,preposition_error,The cave is famous for its historical carvings.,The cave is famous for its prehistoric carvings.,"Смешение прилагательных prehistoric и historical: учащийся может использовать historical вместо prehistoric, хотя prehistoric относится к доисторическому периоду.",
prehistoric animals,prehistoric,prehistoric,adjectives,word_choice,statistics,historic,preposition_error,Scientists study historic animals that lived millions of years ago.,Scientists study prehistoric animals that lived millions of years ago.,Смешение прилагательных prehistoric и historic: под влиянием сходства формы учащийся может выбрать historic вместо prehistoric,REALEC
economic activity,economic activity,economic,adjectives,word_choice,statistics,economical,preposition_error,Tourism is an important part of the country’s economical activity.,Tourism is an important part of the country’s economic activity.,"Смешение прилагательных economic и economical: учащийся может выбрать economical вместо economic, хотя economic относится к экономике страны или общества.",
economic crisis,economic crisis,economic,adjectives,word_choice,statistics,economical,preposition_error,Many businesses closed during the economical crisis.,Many businesses closed during the economic crisis.,"Смешение прилагательных economic и economical: под влиянием сходства формы учащийся может использовать economical вместо economic, хотя economic употребляется с явлениями экономики.",REALEC
economical cars,economical cars,economical,adjectives,word_choice,statistics,economic,preposition_error,Small hybrid vehicles are usually economic cars.,Small hybrid vehicles are usually economical cars.,"Смешение прилагательных economical и economic: учащийся может выбрать economic вместо economical, хотя economical означает «экономичный, выгодный в использовании».",
economical ways,economical ways,economical,adjectives,word_choice,statistics,economic,preposition_error,We are looking for economic ways to reduce energy consumption.,We are looking for economical ways to reduce energy consumption.,"Смешение прилагательных economical и economic: под влиянием сходства значений учащийся может использовать economic вместо economical, хотя economical описывает бережное использование ресурсов.",REALEC
economy class,economy class,,adjectives,word_choice,statistics,,preposition_error,,,,REALEC
economic activity/crisis/,economic,,adjectives,word_choice,statistics,,preposition_error,,,,REALEC
development/ downturn/,development,,adjectives,word_choice,statistics,,preposition_error,,,,REALEC
growth/policy/recovery/,growth,,adjectives,word_choice,statistics,,preposition_error,,,,REALEC
reform/ slowdown/benefits,reform,,adjectives,word_choice,statistics,,preposition_error,,,,REALEC
a market/capitalist/planned/,a,,similar_words,,statistics,,,,,,REALEC
historic historical economy economics economic,historic,,similar_words,,statistics,,,,,,REALEC
economical effective efficient,economical,,similar_words,,statistics,,,,,,REALEC
tour/excursion/outing,tour,,similar_words,,statistics,,,,,,REALEC
cruise,cruise,,similar_words,,statistics,,,,,,REALEC
She went on a cruise and,she,on,similar_words,,statistics,,,,,,REALEC
"visited Greece, Italy and",visited,,similar_words,,statistics,,,,,,REALEC
Spain,spain,,similar_words,,statistics,,,,,,REALEC
voyage,voyage,,similar_words,,statistics,,,,,,REALEC
a voyage across the Atlantic,a,across,similar_words,,statistics,,,,,,REALEC
a sea/ocean/round-the-,a,,similar_words,,statistics,,,,,,REALEC
world voyage maiden voyage,world,,similar_words,,statistics,,,,,,REALEC
(=the first voyage of a ship),the,of,similar_words,,statistics,,,,,,REALEC
He was a young sailor on his,he,on,similar_words,,statistics,,,,,,REALEC
first sea voyage,first,,similar_words,,statistics,,,,,,REALEC
journey,journey,,similar_words,,statistics,,,,,,REALEC
a long/safe/tiring journey; a,a,,similar_words,,statistics,,,,,,REALEC
journey through time start/,journey,through,similar_words,,statistics,,,,,,REALEC
set out on/set off on a,set,off on,similar_words,,statistics,,,,,,REALEC
I love going on long,i,on,similar_words,,statistics,,,,,,REALEC
journeys,journeys,,similar_words,,statistics,,,,,,REALEC
Have a safe journey!,have,,similar_words,,statistics,,,,,,REALEC
travel,travel,,similar_words,,statistics,,,,,,REALEC
air/space/business/foreign,air,,similar_words,,statistics,,,,,,REALEC
travel agency/expenses/,travel,,similar_words,,statistics,,,,,,REALEC
card/insurance,card,,similar_words,,statistics,,,,,,REALEC
We share a love of,we,of,similar_words,,statistics,,,,,,REALEC
"literature, food and travel",literature,,similar_words,,statistics,,,,,,REALEC
Travel broadens the mind,travel,,similar_words,,statistics,,,,,,REALEC
trip,trip,,similar_words,,statistics,,,,,,REALEC
a business/shopping/,a,,similar_words,,statistics,,,,,,REALEC
wedding/school trip,wedding,,similar_words,,statistics,,,,,,REALEC
a round-the-world trip,a,,similar_words,,statistics,,,,,,REALEC
a day trip to Paris,a,to,similar_words,,statistics,,,,,,REALEC
Do you want to go on a school,do,to on,similar_words,,statistics,,,,,,REALEC
trip to France,trip,to,similar_words,,statistics,,,,,,REALEC
The trip from York to,the,from to,similar_words,,statistics,,,,,,REALEC
Newcastle takes about an,newcastle,about,similar_words,,statistics,,,,,,REALEC
hour by train,hour,by,similar_words,,statistics,,,,,,REALEC
We went on a guided,we,on,similar_words,,statistics,,,,,,REALEC
of the UK,of,of,similar_words,,statistics,,,,,,REALEC
The first,the,,similar_words,,statistics,,,,,,REALEC
taken by the ocean liner,taken,by,similar_words,,statistics,,,,,,REALEC
‘Queen Mary’ took place in 1936,queen,in,similar_words,,statistics,,,,,,REALEC
Foreign,foreign,,similar_words,,statistics,,,,,,REALEC
never really appealed to him,never,to,similar_words,,statistics,,,,,,REALEC
until he visited England,until,,similar_words,,statistics,,,,,,REALEC
The Australian Museum offers group,the,,similar_words,,statistics,,,,,,REALEC
with professional guides,with,with,similar_words,,statistics,,,,,,REALEC
She’s away on a business,she,on,similar_words,,statistics,,,,,,REALEC
and won’t be,and,,similar_words,,statistics,,,,,,REALEC
back until next week,back,,similar_words,,statistics,,,,,,REALEC
They used to go on family,they,to on,similar_words,,statistics,,,,,,REALEC
to the,to,to,similar_words,,statistics,,,,,,REALEC
countryside,countryside,,similar_words,,statistics,,,,,,REALEC
Our parents wished us a safe,our,,similar_words,,statistics,,,,,,REALEC
as we,as,,similar_words,,statistics,,,,,,REALEC
drove away,drove,,similar_words,,statistics,,,,,,REALEC
My parents went on a/an,my,on,similar_words,,statistics,,,,,,REALEC
around the,around,around,similar_words,,statistics,,,,,,REALEC
Mediterranean,mediterranean,,similar_words,,statistics,,,,,,REALEC
tour,tour,,similar_words,,statistics,,,,,,REALEC
a guided tour/ a tour guide,a,,similar_words,,statistics,,,,,,REALEC
a world/overseas tour,a,,similar_words,,statistics,,,,,,REALEC
a walking/coach/bus/,a,,similar_words,,statistics,,,,,,REALEC
cycling tour,cycling,,similar_words,,statistics,,,,,,REALEC
A bus took us on a,a,on,similar_words,,statistics,,,,,,REALEC
sightseeing tour of the city,sightseeing,of,similar_words,,statistics,,,,,,REALEC
The Queen is making a two-,the,,similar_words,,statistics,,,,,,REALEC
week tour of Australia,week,of,similar_words,,statistics,,,,,,REALEC
a one-day excursion to the,a,to,similar_words,,statistics,,,,,,REALEC
Grand Canyon,grand,,similar_words,,statistics,,,,,,REALEC
Next week we’re going on an,next,on,similar_words,,statistics,,,,,,REALEC
excursion to the Museum of,excursion,to of,similar_words,,statistics,,,,,,REALEC
Modern Art,modern,,similar_words,,statistics,,,,,,REALEC
outing,outing,,similar_words,,statistics,,,,,,REALEC
a pleasant family outing,a,,similar_words,,statistics,,,,,,REALEC
an outing to a bowling alley,an,to,similar_words,,statistics,,,,,,REALEC
cruise voyage trip tour travel journey excursion outing,cruise,,similar_words,,statistics,,,,,,REALEC
judge/referee/umpire,judge,,similar_words,,statistics,,,,,,REALEC
pitch,pitch,,similar_words,,statistics,,,,,,REALEC
a cricket/hockey/football/rugby,a,,similar_words,,statistics,,,,,,REALEC
Supporters invaded the pitch,supporters,,similar_words,,statistics,,,,,,REALEC
field,field,,similar_words,,statistics,,,,,,REALEC
a baseball/football/rugby/soccer/,a,,similar_words,,statistics,,,,,,REALEC
playing/ sports field,playing,,similar_words,,statistics,,,,,,REALEC
The England striker left the field,the,,similar_words,,statistics,,,,,,REALEC
with a knee injury,with,with,similar_words,,statistics,,,,,,REALEC
court,court,,similar_words,,statistics,,,,,,REALEC
a tennis/squash/basketball/,a,,similar_words,,statistics,,,,,,REALEC
volleyball court,volleyball,,similar_words,,statistics,,,,,,REALEC
The hotel has two tennis courts,the,,similar_words,,statistics,,,,,,REALEC
course,course,,similar_words,,statistics,,,,,,REALEC
a golf course/cross-country course,a,,similar_words,,statistics,,,,,,REALEC
horses for courses,horses,for,similar_words,,statistics,,,,,,REALEC
The country club has a golf course,the,,similar_words,,statistics,,,,,,REALEC
The race was run on the turf,the,on,similar_words,,statistics,,,,,,REALEC
ring,ring,,similar_words,,statistics,,,,,,REALEC
a boxing/wrestling ring,a,,similar_words,,statistics,,,,,,REALEC
We manufacturer Boxing Rings,we,,similar_words,,statistics,,,,,,REALEC
and Wrestling Rings,and,,similar_words,,statistics,,,,,,REALEC
rink,rink,,similar_words,,statistics,,,,,,REALEC
a ice/ice-hockey/skating/roller-,a,,similar_words,,statistics,,,,,,REALEC
skating rink,skating,,similar_words,,statistics,,,,,,REALEC
judge,judge,,similar_words,,statistics,,,,,,REALEC
a British high-court judge,a,,similar_words,,statistics,,,,,,REALEC
a US Supreme Court judge,a,,similar_words,,statistics,,,,,,REALEC
a panel of judges,a,of,similar_words,,statistics,,,,,,REALEC
The judge sentenced him to five,the,to,similar_words,,statistics,,,,,,REALEC
years in prison,years,in,similar_words,,statistics,,,,,,REALEC
She’s such a bad judge of,she,of,similar_words,,statistics,,,,,,REALEC
character,character,,similar_words,,statistics,,,,,,REALEC
All entries will be examined by a,all,by,similar_words,,statistics,,,,,,REALEC
panel of judges,panel,of,similar_words,,statistics,,,,,,REALEC
We’ve got a tennis,we,,similar_words,,statistics,,,,,,REALEC
near our country,near,near,similar_words,,statistics,,,,,,REALEC
house,house,,similar_words,,statistics,,,,,,REALEC
In tennis a(n),in,in,similar_words,,statistics,,,,,,REALEC
is an on-court official,is,on,similar_words,,statistics,,,,,,REALEC
Hundreds of boxing fans crowded around the,hundreds,of around,similar_words,,statistics,,,,,,REALEC
with cameras in hands,with,with in,similar_words,,statistics,,,,,,REALEC
A High Court,a,,similar_words,,statistics,,,,,,REALEC
found him innocent,found,,similar_words,,statistics,,,,,,REALEC
What is the standard size of a football,what,of,similar_words,,statistics,,,,,,REALEC
This skating,this,,similar_words,,statistics,,,,,,REALEC
"was built in 1948, making",was,in,similar_words,,statistics,,,,,,REALEC
it the oldest one in the state,it,in,similar_words,,statistics,,,,,,REALEC
A golf,a,,similar_words,,statistics,,,,,,REALEC
consists of a series of holes,consists,of of,similar_words,,statistics,,,,,,REALEC
A football match is presided over by a(n),a,over by,similar_words,,statistics,,,,,,REALEC
who has authority to make decisions about the game,who,to about,similar_words,,statistics,,,,,,REALEC
The referee is the sole judge of the,the,of,similar_words,,statistics,,,,,,REALEC
rules,rules,,similar_words,,statistics,,,,,,REALEC
Liverpool only lost the game,liverpool,,similar_words,,statistics,,,,,,REALEC
because the referee was biased,because,,similar_words,,statistics,,,,,,REALEC
A senior judge is acting as referee,a,,similar_words,,statistics,,,,,,REALEC
in the pay dispute between the,in,in between,similar_words,,statistics,,,,,,REALEC
trade union and management,trade,,similar_words,,statistics,,,,,,REALEC
She gave her college tutor as her,she,,similar_words,,statistics,,,,,,REALEC
referee to the interviewer,referee,to,similar_words,,statistics,,,,,,REALEC
He has been chosen as an umpire,he,,similar_words,,statistics,,,,,,REALEC
for the next cricket test match,for,for,similar_words,,statistics,,,,,,REALEC
referee,referee,,similar_words,,statistics,,,,,,REALEC
